customer_id,age,gender,marital_status,education,annual_income,annual_purchases,avg_purchase_amount,online_purchase_ratio,last_purchase_date,loyalty_score,return_rate,avg_visit_duration,monthly_visits,conversion_rate,ad_click_rate
CUST_00042,33,Female,Single,Bachelors,730,15,1350,0.55,2025-01-16 15:23:19.628568,100,0.0,10,8,25.0,25.0
CUST_00043,31,Female,Single,High School,348,12,2176,0.41,2025-01-12 15:23:19.628568,100,0.0,16,7,14.3,14.3
CUST_00044,18,Male,Married,Bachelors,621,14,6400,0.48,2025-01-21 15:23:19.628568,100,0.0,15,7,14.3,57.1
CUST_00045,26,Female,Married,Bachelors,565,12,1509,0.47,2025-01-26 15:23:19.628568,100,16.7,10,5,40.0,20.0
CUST_00046,29,Male,Single,PhD,406,10,1559,0.27,2025-01-16 15:23:19.628568,100,0.0,16,8,25.0,37.5
CUST_00047,47,Male,Single,Bachelors,1115,12,975,0.53,2025-01-16 15:23:19.628568,100,16.7,14,6,16.7,33.3
CUST_00048,39,Female,Married,Masters,370,6,1566,0.61,2025-01-21 15:23:19.628568,96,33.3,20,9,0.0,55.6
CUST_00049,18,Female,Married,Bachelors,409,11,3880,0.53,2025-01-21 15:23:19.628568,100,9.1,20,6,0.0,16.7
CUST_00050,38,Male,Married,High School,430,10,1430,0.35,2025-01-25 15:23:19.628568,100,20.0,14,6,33.3,16.7
CUST_00051,30,Female,Single,Masters,867,14,636,0.42,2025-01-25 15:23:19.628568,100,14.3,10,5,60.0,60.0
CUST_00052,26,Female,Married,High School,940,9,1261,0.27,2025-01-18 15:23:19.628568,100,0.0,17,8,50.0,62.5
CUST_00053,42,Male,Married,Bachelors,1072,12,551,0.35,2025-01-20 15:23:19.628568,100,16.7,16,12,0.0,25.0
CUST_00054,47,Female,Single,Masters,804,15,1690,0.65,2025-01-27 15:23:19.628568,100,0.0,13,6,66.7,50.0
CUST_00055,46,Female,Married,PhD,519,9,1063,0.44,2025-01-28 15:23:19.628568,100,0.0,30,10,20.0,10.0
CUST_00056,24,Female,Married,Bachelors,882,11,2964,0.55,2025-01-28 15:23:19.628568,100,9.1,15,8,12.5,37.5
CUST_00057,31,Male,Married,Bachelors,658,11,1777,0.46,2025-01-20 15:23:19.628568,100,9.1,17,10,20.0,40.0
CUST_00058,38,Male,Married,Bachelors,513,14,1883,0.55,2025-01-20 15:23:19.628568,100,0.0,7,4,25.0,100.0
CUST_00059,46,Male,Married,Bachelors,432,14,1538,0.86,2025-01-20 15:23:19.628568,100,14.3,13,6,66.7,50.0
CUST_00060,29,Female,Single,Masters,501,16,894,0.45,2025-01-19 15:23:19.628568,100,6.2,16,13,7.7,23.1
CUST_00061,32,Female,Single,Masters,430,13,2718,0.31,2025-01-23 15:23:19.628568,100,23.1,14,5,60.0,80.0
CUST_00062,21,Male,Single,PhD,671,8,2011,0.45,2025-01-20 15:23:19.628568,100,37.5,8,6,16.7,66.7
CUST_00063,20,Female,Married,Masters,490,8,426,0.33,2025-01-22 15:23:19.628568,100,25.0,16,8,25.0,37.5
CUST_00064,44,Male,Single,High School,697,9,1227,0.59,2025-01-13 15:23:19.628568,98,11.1,20,4,25.0,25.0
CUST_00065,51,Male,Married,Bachelors,703,14,1662,0.25,2025-02-02 15:23:19.628568,100,14.3,15,6,50.0,50.0
CUST_00066,34,Female,Married,Bachelors,548,13,263,0.39,2025-01-17 15:23:19.628568,100,7.7,13,12,16.7,0.0
CUST_00067,47,Male,Married,Bachelors,435,14,1351,0.58,2025-01-25 15:23:19.628568,100,7.1,20,9,55.6,33.3
CUST_00068,39,Female,Married,High School,346,12,1805,0.75,2025-01-19 15:23:19.628568,100,0.0,15,7,57.1,42.9
CUST_00069,27,Female,Single,Bachelors,517,14,2522,0.69,2025-01-20 15:23:19.628568,100,14.3,15,6,16.7,83.3
CUST_00070,39,Female,Single,High School,632,10,3282,0.67,2025-01-14 15:23:19.628568,100,10.0,7,5,20.0,80.0
CUST_00071,53,Male,Married,Bachelors,275,14,2063,0.56,2025-02-01 15:23:19.628568,100,0.0,12,12,8.3,8.3
CUST_00072,34,Female,Married,High School,224,11,2404,0.29,2025-01-22 15:23:19.628568,100,18.2,20,13,23.1,30.8
CUST_00073,53,Female,Single,Bachelors,513,12,268,0.55,2025-01-21 15:23:19.628568,100,8.3,10,10,50.0,20.0
CUST_00074,18,Female,Single,Bachelors,348,10,1274,0.5,2025-01-20 15:23:19.628568,100,0.0,17,7,28.6,71.4
CUST_00075,44,Female,Married,Bachelors,904,14,3125,0.67,2025-01-14 15:23:19.628568,100,14.3,20,1,100.0,100.0
CUST_00076,36,Male,Married,Bachelors,1048,8,1158,0.59,2025-01-22 15:23:19.628568,100,25.0,14,3,100.0,100.0
CUST_00077,31,Male,Single,Bachelors,329,12,1637,0.42,2025-01-20 15:23:19.628568,100,0.0,12,8,37.5,25.0
CUST_00078,36,Female,Married,Bachelors,233,17,1425,0.28,2025-01-15 15:23:19.628568,100,5.9,12,8,87.5,12.5
CUST_00079,18,Female,Married,Bachelors,728,19,962,0.26,2025-01-30 15:23:19.628568,100,5.3,21,8,0.0,12.5
CUST_00080,32,Male,Married,High School,604,16,652,0.46,2025-01-25 15:23:19.628568,100,12.5,17,7,28.6,57.1
CUST_00081,39,Female,Single,Bachelors,664,10,1988,0.37,2025-01-21 15:23:19.628568,100,10.0,14,3,66.7,66.7
CUST_00082,52,Female,Married,High School,801,10,900,0.41,2025-01-26 15:23:19.628568,100,0.0,15,11,9.1,18.2
CUST_00083,28,Male,Single,High School,442,15,2171,0.64,2025-01-31 15:23:19.628568,100,0.0,12,9,11.1,0.0
CUST_00084,25,Male,Married,High School,494,13,587,0.61,2025-01-23 15:23:19.628568,100,7.7,17,11,9.1,54.5
CUST_00085,28,Female,Single,High School,819,9,2803,0.31,2025-01-21 15:23:19.628568,100,11.1,14,8,50.0,75.0
CUST_00086,45,Male,Single,Bachelors,682,7,1134,0.53,2025-01-22 15:23:19.628568,99,14.3,9,9,33.3,55.6
CUST_00087,38,Male,Single,Bachelors,1519,14,1168,0.69,2025-01-31 15:23:19.628568,100,0.0,16,9,33.3,33.3
CUST_00088,28,Female,Single,Masters,632,12,1471,0.38,2025-01-19 15:23:19.628568,100,0.0,14,16,12.5,25.0
CUST_00089,41,Female,Married,Bachelors,620,11,617,0.53,2025-01-13 15:23:19.628568,100,9.1,9,7,42.9,0.0
CUST_00090,36,Male,Single,Bachelors,848,11,1830,0.52,2025-01-29 15:23:19.628568,100,36.4,17,8,12.5,37.5
CUST_00091,46,Female,Married,High School,1533,8,2658,0.57,2025-01-29 15:23:19.628568,100,12.5,13,9,22.2,11.1
CUST_00092,26,Female,Married,High School,780,11,1830,0.62,2025-01-24 15:23:19.628568,100,18.2,9,11,36.4,72.7
CUST_00093,31,Male,Married,Bachelors,472,16,2305,0.4,2025-01-18 15:23:19.628568,100,6.2,12,5,40.0,40.0
CUST_00094,30,Female,Married,High School,392,10,1889,0.38,2025-01-20 15:23:19.628568,100,0.0,12,7,28.6,0.0
CUST_00095,18,Male,Married,Bachelors,592,14,3733,0.58,2025-01-22 15:23:19.628568,100,7.1,13,5,20.0,80.0
CUST_00096,38,Male,Married,Bachelors,315,12,462,0.83,2025-01-24 15:23:19.628568,100,8.3,15,8,12.5,37.5
CUST_00097,38,Female,Married,Bachelors,754,10,618,0.82,2025-01-23 15:23:19.628568,100,20.0,11,6,33.3,33.3
CUST_00098,35,Male,Married,Bachelors,633,13,1947,0.48,2025-01-28 15:23:19.628568,100,0.0,15,10,10.0,30.0
CUST_00099,32,Female,Married,High School,707,8,2732,0.53,2025-01-24 15:23:19.628568,100,25.0,16,9,22.2,55.6
CUST_00100,18,Female,Married,Masters,224,17,4551,0.54,2025-01-21 15:23:19.628568,100,11.8,15,11,27.3,27.3
CUST_00101,29,Female,Married,High School,1070,9,650,0.69,2025-01-27 15:23:19.628568,100,22.2,15,7,0.0,28.6
CUST_00102,30,Female,Single,High School,311,8,2123,0.6,2025-01-26 15:23:19.628568,100,0.0,9,7,0.0,100.0
CUST_00103,25,Male,Single,Masters,290,16,2760,0.45,2025-01-18 15:23:19.628568,100,18.8,18,8,25.0,25.0
CUST_00104,33,Female,Single,Bachelors,199,12,2879,0.32,2025-01-27 15:23:19.628568,100,0.0,13,7,42.9,28.6
CUST_00105,39,Male,Single,High School,403,9,749,0.44,2025-01-14 15:23:19.628568,99,0.0,11,10,30.0,20.0
CUST_00106,57,Female,Married,Bachelors,589,13,3152,0.33,2025-01-30 15:23:19.628568,100,7.7,17,2,100.0,100.0
CUST_00107,37,Female,Single,Bachelors,518,11,1629,0.32,2025-01-14 15:23:19.628568,100,9.1,10,7,14.3,57.1
CUST_00108,38,Male,Married,High School,773,12,1308,0.5,2025-01-22 15:23:19.628568,100,16.7,19,5,40.0,60.0
CUST_00109,34,Male,Married,Masters,1033,9,1762,0.67,2025-01-23 15:23:19.628568,100,22.2,18,8,25.0,37.5
CUST_00110,18,Female,Married,Bachelors,1077,9,1264,0.65,2025-01-20 15:23:19.628568,100,0.0,18,8,37.5,37.5
CUST_00111,34,Male,Single,High School,480,14,1270,0.68,2025-01-17 15:23:19.628568,100,0.0,11,10,20.0,40.0
CUST_00112,35,Male,Single,PhD,507,11,1132,0.45,2025-01-20 15:23:19.628568,100,9.1,17,12,8.3,8.3
CUST_00113,64,Male,Married,High School,509,13,1582,0.57,2025-01-22 15:23:19.628568,100,7.7,12,10,30.0,10.0
CUST_00114,32,Female,Married,High School,444,10,2261,0.51,2025-01-24 15:23:19.628568,100,0.0,16,6,16.7,66.7
CUST_00115,38,Female,Married,High School,1502,12,1242,0.22,2025-01-21 15:23:19.628568,100,25.0,20,6,0.0,50.0
CUST_00116,34,Female,Single,High School,638,15,725,0.43,2025-01-18 15:23:19.628568,100,13.3,21,7,28.6,57.1
CUST_00117,20,Male,Single,High School,703,14,844,0.44,2025-01-22 15:23:19.628568,100,14.3,18,5,20.0,100.0
CUST_00118,48,Female,Married,Bachelors,767,10,2507,0.56,2025-01-14 15:23:19.628568,100,0.0,21,5,0.0,60.0
CUST_00119,44,Female,Single,Bachelors,1001,14,662,0.19,2025-01-25 15:23:19.628568,100,7.1,14,6,16.7,100.0
CUST_00120,44,Male,Single,Masters,486,19,917,0.27,2025-01-20 15:23:19.628568,100,5.3,16,11,27.3,36.4
CUST_00121,24,Female,Single,Bachelors,705,12,1256,0.24,2025-01-26 15:23:19.628568,100,33.3,16,9,22.2,33.3
CUST_00122,51,Female,Married,Bachelors,732,13,1739,0.77,2025-01-21 15:23:19.628568,100,23.1,16,7,14.3,14.3
CUST_00123,18,Female,Married,Bachelors,250,6,775,0.44,2025-01-18 15:23:19.628568,95,16.7,16,11,9.1,9.1
CUST_00124,42,Male,Married,Masters,427,10,2783,0.54,2025-01-30 15:23:19.628568,100,0.0,14,9,44.4,66.7
CUST_00125,61,Male,Single,Bachelors,502,6,4466,0.21,2025-01-18 15:23:19.628568,95,0.0,18,8,12.5,75.0
CUST_00126,23,Female,Married,Masters,895,11,2235,0.33,2025-01-21 15:23:19.628568,100,9.1,18,10,10.0,30.0
CUST_00127,28,Female,Single,High School,3128,10,2743,0.39,2025-01-18 15:23:19.628568,100,0.0,16,7,28.6,14.3
CUST_00128,36,Male,Single,High School,438,16,1202,0.82,2025-01-28 15:23:19.628568,100,6.2,12,12,0.0,33.3
CUST_00129,28,Male,Married,High School,429,13,703,0.52,2025-01-20 15:23:19.628568,100,7.7,13,7,28.6,28.6
CUST_00130,18,Male,Married,Bachelors,681,17,2247,0.53,2025-01-17 15:23:19.628568,100,11.8,10,6,33.3,100.0
CUST_00131,35,Female,Married,PhD,230,6,1967,0.75,2025-01-25 15:23:19.628568,98,33.3,12,7,14.3,57.1
CUST_00132,22,Female,Married,High School,223,12,1326,0.65,2025-02-02 15:23:19.628568,100,8.3,9,9,11.1,55.6
CUST_00133,40,Male,Single,Bachelors,509,15,1652,0.36,2025-02-02 15:23:19.628568,100,20.0,13,5,60.0,100.0
CUST_00134,23,Male,Single,High School,416,20,1544,0.37,2025-01-17 15:23:19.628568,100,0.0,14,9,33.3,44.4
CUST_00135,53,Female,Married,Bachelors,954,15,1525,0.49,2025-01-10 15:23:19.628568,100,0.0,21,11,27.3,0.0
CUST_00136,25,Male,Married,Bachelors,453,15,1999,0.37,2025-01-24 15:23:19.628568,100,0.0,14,4,75.0,75.0
CUST_00137,31,Female,Married,Masters,284,11,539,0.14,2025-01-22 15:23:19.628568,100,9.1,16,10,30.0,50.0
CUST_00138,44,Male,Married,Masters,328,11,1212,0.58,2025-01-18 15:23:19.628568,100,27.3,23,12,8.3,16.7
CUST_00139,20,Female,Married,Bachelors,989,14,1482,0.47,2025-01-26 15:23:19.628568,100,7.1,20,6,33.3,0.0
CUST_00140,37,Male,Single,PhD,379,14,1018,0.28,2025-01-25 15:23:19.628568,100,7.1,16,7,57.1,42.9
CUST_00141,50,Female,Single,Bachelors,459,12,3161,0.35,2025-01-24 15:23:19.628568,100,8.3,12,10,10.0,40.0
CUST_00142,18,Male,Married,PhD,469,12,1057,0.68,2025-01-21 15:23:19.628568,100,0.0,15,12,0.0,33.3
CUST_00143,37,Female,Married,High School,408,11,784,0.77,2025-01-22 15:23:19.628568,100,18.2,15,12,8.3,25.0
CUST_00144,38,Female,Married,Masters,636,13,1592,0.43,2025-01-27 15:23:19.628568,100,7.7,21,10,20.0,10.0
CUST_00145,44,Female,Married,Bachelors,1324,11,993,0.62,2025-01-12 15:23:19.628568,100,9.1,19,6,33.3,100.0
CUST_00146,20,Male,Married,Masters,719,19,1814,0.36,2025-01-28 15:23:19.628568,100,0.0,19,12,0.0,25.0
CUST_00147,19,Female,Married,PhD,823,12,750,0.36,2025-01-20 15:23:19.628568,100,0.0,19,5,60.0,80.0
CUST_00148,41,Female,Married,PhD,337,6,1227,0.58,2025-01-26 15:23:19.628568,99,16.7,21,3,100.0,100.0
CUST_00149,38,Female,Married,Bachelors,657,14,2912,0.36,2025-01-20 15:23:19.628568,100,0.0,17,12,33.3,50.0
CUST_00150,38,Male,Single,Bachelors,1082,10,1821,0.69,2025-01-20 15:23:19.628568,100,0.0,18,5,80.0,60.0
CUST_00151,39,Male,Married,Bachelors,486,9,3514,0.78,2025-01-21 15:23:19.628568,100,0.0,14,9,22.2,22.2
CUST_00152,26,Male,Married,Masters,544,9,3346,0.4,2025-01-20 15:23:19.628568,100,22.2,11,8,0.0,50.0
CUST_00153,37,Female,Married,Bachelors,799,9,1161,0.57,2025-01-27 15:23:19.628568,100,0.0,13,11,27.3,36.4
CUST_00154,38,Male,Married,Masters,1173,9,1152,0.47,2025-02-02 15:23:19.628568,100,22.2,7,7,28.6,71.4
CUST_00155,26,Female,Single,High School,988,9,1673,0.35,2025-01-23 15:23:19.628568,100,0.0,17,12,0.0,25.0
CUST_00156,57,Male,Married,Bachelors,289,9,2737,0.77,2025-01-17 15:23:19.628568,100,33.3,15,9,44.4,33.3
CUST_00157,40,Male,Married,Bachelors,646,11,839,0.67,2025-02-04 15:23:19.628568,100,0.0,17,11,9.1,9.1
CUST_00158,20,Male,Single,High School,403,15,2273,0.39,2025-01-23 15:23:19.628568,100,0.0,15,9,22.2,44.4
CUST_00159,42,Female,Married,High School,464,13,1440,0.38,2025-01-22 15:23:19.628568,100,7.7,18,8,0.0,25.0
CUST_00160,23,Female,Married,Bachelors,284,13,850,0.23,2025-01-25 15:23:19.628568,100,7.7,12,7,28.6,28.6
CUST_00161,44,Male,Married,High School,477,11,1868,0.29,2025-01-21 15:23:19.628568,100,0.0,17,5,40.0,20.0
CUST_00162,48,Male,Married,Masters,356,24,1352,0.67,2025-01-26 15:23:19.628568,100,0.0,11,16,6.2,6.2
CUST_00163,25,Female,Single,PhD,503,14,2078,0.56,2025-01-20 15:23:19.628568,100,0.0,16,8,0.0,25.0
CUST_00164,46,Female,Married,High School,698,10,1899,0.56,2025-01-21 15:23:19.628568,100,20.0,14,2,100.0,100.0
CUST_00165,39,Female,Married,Masters,628,7,661,0.41,2025-01-15 15:23:19.628568,95,0.0,21,4,75.0,100.0
CUST_00166,44,Female,Married,Bachelors,849,12,572,0.64,2025-01-21 15:23:19.628568,100,0.0,8,11,9.1,9.1
CUST_00167,57,Male,Married,Bachelors,427,12,230,0.32,2025-01-20 15:23:19.628568,100,16.7,12,8,12.5,50.0
CUST_00168,32,Male,Married,Bachelors,234,13,4736,0.64,2025-01-20 15:23:19.628568,100,30.8,12,6,16.7,33.3
CUST_00169,25,Male,Single,Masters,1213,16,2108,0.41,2025-01-25 15:23:19.628568,100,6.2,11,10,30.0,20.0
CUST_00170,24,Female,Married,PhD,718,13,1887,0.4,2025-02-01 15:23:19.628568,100,15.4,11,6,16.7,50.0
CUST_00171,25,Female,Married,Bachelors,734,14,647,0.6,2025-01-17 15:23:19.628568,100,21.4,6,7,14.3,42.9
CUST_00172,34,Male,Married,Masters,714,16,1187,0.28,2025-01-22 15:23:19.628568,100,6.2,13,7,42.9,85.7
CUST_00173,39,Male,Single,Bachelors,621,9,676,0.49,2025-01-23 15:23:19.628568,100,0.0,11,10,30.0,70.0
CUST_00174,38,Male,Married,Bachelors,896,14,1522,0.71,2025-01-20 15:23:19.628568,100,0.0,16,5,20.0,0.0
CUST_00175,44,Male,Single,High School,393,17,1355,0.7,2025-01-25 15:23:19.628568,100,29.4,16,6,16.7,50.0
CUST_00176,35,Male,Married,High School,810,11,1078,0.42,2025-01-17 15:23:19.628568,100,0.0,20,11,0.0,36.4
CUST_00177,52,Female,Married,Bachelors,652,15,1947,0.65,2025-01-29 15:23:19.628568,100,0.0,20,13,23.1,53.8
CUST_00178,31,Male,Single,Bachelors,583,9,1568,0.41,2025-01-24 15:23:19.628568,100,33.3,9,6,33.3,50.0
CUST_00179,67,Female,Married,High School,427,18,1359,0.49,2025-01-20 15:23:19.628568,100,11.1,22,9,44.4,33.3
CUST_00180,42,Female,Married,Bachelors,618,17,1512,0.72,2025-01-25 15:23:19.628568,100,5.9,14,6,50.0,100.0
CUST_00181,24,Female,Married,High School,492,12,1369,0.27,2025-01-23 15:23:19.628568,100,8.3,15,6,16.7,83.3
CUST_00182,22,Male,Married,Masters,837,12,1252,0.44,2025-01-26 15:23:19.628568,100,16.7,13,3,66.7,100.0
CUST_00183,40,Female,Married,Bachelors,433,14,1594,0.62,2025-01-16 15:23:19.628568,100,7.1,19,9,11.1,33.3
CUST_00184,32,Male,Single,Bachelors,326,12,1483,0.54,2025-02-02 15:23:19.628568,100,16.7,15,10,10.0,30.0
CUST_00185,43,Male,Single,Bachelors,724,11,419,0.6,2025-01-29 15:23:19.628568,100,0.0,14,13,15.4,23.1
CUST_00186,40,Female,Married,PhD,1565,14,1144,0.66,2025-01-13 15:23:19.628568,100,7.1,19,15,13.3,6.7
CUST_00187,34,Male,Married,PhD,620,17,824,0.54,2025-01-16 15:23:19.628568,100,0.0,19,7,42.9,28.6
CUST_00188,24,Female,Single,Masters,507,8,1045,0.45,2025-01-12 15:23:19.628568,96,12.5,17,9,22.2,11.1
CUST_00189,18,Male,Single,Bachelors,1335,14,1654,0.76,2025-01-22 15:23:19.628568,100,7.1,16,11,0.0,36.4
CUST_00190,29,Male,Married,High School,687,8,1816,0.57,2025-01-24 15:23:19.628568,100,0.0,13,3,33.3,66.7
CUST_00191,45,Female,Married,Bachelors,506,13,527,0.35,2025-01-24 15:23:19.628568,100,15.4,15,6,66.7,33.3
CUST_00192,37,Female,Single,Masters,1287,12,831,0.57,2025-01-25 15:23:19.628568,100,8.3,12,13,0.0,23.1
CUST_00193,20,Male,Married,Bachelors,377,8,3403,0.34,2025-01-21 15:23:19.628568,100,0.0,12,7,0.0,85.7
CUST_00194,37,Female,Single,Masters,462,7,1717,0.55,2025-01-28 15:23:19.628568,100,0.0,17,9,33.3,22.2
CUST_00195,39,Female,Single,High School,646,13,1860,0.37,2025-01-21 15:23:19.628568,100,7.7,16,7,71.4,28.6
CUST_00196,24,Male,Single,High School,2242,7,1267,0.46,2025-01-25 15:23:19.628568,100,0.0,15,10,40.0,20.0
CUST_00197,36,Female,Married,Bachelors,343,13,2662,0.67,2025-01-29 15:23:19.628568,100,0.0,17,9,22.2,66.7
CUST_00198,35,Female,Married,Bachelors,309,11,1919,0.31,2025-01-19 15:23:19.628568,100,9.1,16,10,20.0,20.0
CUST_00199,21,Male,Single,Bachelors,611,16,4484,0.59,2025-01-21 15:23:19.628568,100,18.8,18,6,33.3,50.0
CUST_00200,39,Female,Single,Bachelors,1149,14,1319,0.57,2025-01-28 15:23:19.628568,100,14.3,16,12,41.7,8.3
CUST_00201,41,Male,Married,Masters,857,9,3049,0.52,2025-01-20 15:23:19.628568,100,0.0,15,7,14.3,28.6
CUST_00202,47,Female,Married,Bachelors,389,14,845,0.43,2025-01-14 15:23:19.628568,100,7.1,11,6,66.7,83.3
CUST_00203,47,Male,Married,High School,307,15,1761,0.45,2025-01-15 15:23:19.628568,100,6.7,23,3,0.0,0.0
CUST_00204,18,Female,Married,Bachelors,393,13,1379,0.56,2025-01-24 15:23:19.628568,100,0.0,19,5,20.0,40.0
CUST_00205,23,Male,Single,Bachelors,575,16,1495,0.43,2025-01-22 15:23:19.628568,100,6.2,13,11,9.1,9.1
CUST_00206,41,Male,Married,PhD,638,15,520,0.42,2025-02-05 15:23:19.628568,100,6.7,18,10,0.0,20.0
CUST_00207,41,Male,Single,PhD,483,15,924,0.37,2025-01-20 15:23:19.628568,100,6.7,17,6,0.0,33.3
CUST_00208,41,Female,Married,High School,477,9,2876,0.71,2025-01-17 15:23:19.628568,100,0.0,15,12,25.0,16.7
CUST_00209,80,Male,Single,High School,475,7,1161,0.5,2025-02-02 15:23:19.628568,100,28.6,13,8,25.0,50.0
CUST_00210,41,Male,Single,Bachelors,738,13,1378,0.55,2025-01-19 15:23:19.628568,100,0.0,17,9,0.0,33.3
CUST_00211,48,Female,Married,Bachelors,649,16,644,0.6,2025-01-15 15:23:19.628568,100,6.2,15,7,42.9,28.6
CUST_00212,46,Male,Single,High School,745,10,1220,0.42,2025-01-24 15:23:19.628568,100,10.0,13,7,28.6,100.0
